"name","degree","in_degree","out_degree","closeness","betweenness","hub_score","authority"
"AA",18,6,12,0.0082,89.2,0.08,0.004
"AB",9,3,6,0.0079,4.56,0.013,0.004
"AF",23,16,7,0.0094,109.76,0.005,0.084
"DD",36,28,8,0.0088,162.99,0.013,0.141
"CD",40,15,25,0.0101,375.99,0.235,0.079
"BA",26,13,13,0.0092,184.5,0.032,0.021
"CB",24,2,22,0.0085,36.24,0.715,0.004
"CC",50,25,25,0.0097,225.27,1,0.112
"BC",21,7,14,0.0093,94.82,0.232,0.006
"ED",27,10,17,0.0106,343.02,0.049,0.048
"AE",15,4,11,0.0083,105.37,0.079,0.015
"CA",62,50,12,0.01,292.16,0.045,1
"EB",7,0,7,0.0085,0,0.187,0
"BF",12,6,6,0.0083,28.45,0.127,0.006
"BB",23,11,12,0.0102,244.96,0.115,0.083
"AC",27,12,15,0.0094,172.43,0.209,0.063
"DC",2,0,2,0.0075,0,0.007,0
"BD",4,1,3,0.0073,5.97,0.013,0
"DB",8,0,8,0.0065,0,0.017,0
"CF",12,4,8,0.0087,181.81,0.007,0.008
"DF",23,10,13,0.009,42.77,0.025,0.193
"BE",20,5,15,0.0092,55.96,0.22,0.11
"EA",8,6,2,0.0076,183.6,0.057,0.008
"CE",10,8,2,0.0087,11.94,0.063,0.024
"EE",6,4,2,0.0078,4,0.013,0.024
"EF",8,4,4,0.0056,0,0.001,0
"FF",1,0,1,0.0067,0,0.004,0
"FD",8,3,5,0.0056,33,0,0.002
"GB",1,0,1,0.0063,0,0,0
"GC",1,0,1,0.0058,0,0,0
"GD",1,0,1,0.0065,0,0.006,0
"AD",9,4,5,0.0083,49,0.01,0.018
"KA",3,0,3,0.0079,0,0.063,0
"KF",3,2,1,0.0075,17.23,0,0.002
"LC",1,0,1,0.0067,0,0.057,0
"DA",7,7,0,0.0061,0,0,0.004
"EC",3,3,0,0.0067,0,0,0.025
"FA",1,1,0,0.0067,0,0,0.008
"FB",1,1,0,0.0065,0,0,0.035
"DE",2,2,0,0.0061,0,0,0
"FC",1,1,0,0.0058,0,0,0.003
"FE",2,2,0,0.0065,0,0,0.003
"GA",5,5,0,0.0059,0,0,0.014
"GE",1,1,0,0.0065,0,0,0.035
"KB",1,1,0,0.0065,0,0,0.035
"KC",1,1,0,0.0061,0,0,0
"KD",1,1,0,0.0067,0,0,0.008
"KE",1,1,0,0.006,0,0,0.025
"LB",1,1,0,0.0067,0,0,0.008
"LA",1,1,0,0.0063,0,0,0.001
"LD",1,1,0,0.0064,0,0,0
"LE",1,1,0,0.0063,0,0,0.001
